Cno	Cname	no	Cca	Chour	Ccredit	Cteacher	Cteacher_2	Cweek	Cday	Ctime	Cweek_2	Cday_2	Ctime_2
99NA0005	人像摄影	1	100	32	2	王真		4-13周	7	第9-12节			
99NA0006	艺术与审美	1	80	42	3	徐辉	蒋志琴	"第4,7,11周"	7	第9-10节	"5-6,8-10,12-13"	7	第9-11节
99NE0003	设计创意生活	1	80	28	2	吴学夫		"第4,7,11周"	7	第9-10节	"5-6,8-10,12-14"	7	第9-11节
99NH0006	艾滋病、性与健康	1	80	18	1	贺小飞		"第4,7,11周"	7	第9-10节	"5-6,8-10,12-15"	7	第9-11节
99NH0007	大学生心理健康	1	80	36	2	毛明华		"第4,7,11周"	7	第9-10节	"5-6,8-10,12-16"	7	第9-11节
99NH0008	西方文明史导论	1	80	32	2	耿波		"第4,7,11周"	7	第9-10节	"5-6,8-10,12-17"	7	第9-11节
99NS0001	从爱因斯坦到霍金的宇宙	1	90	31	2	杨丁		4-12周	4	第9-11节	13-14周	4	第9-10节
99NS0004	天文漫谈	1	80	32	2	史建华		"第4,7,11周"	7	第9-10节	"5-6,8-10,12-17"	7	第9-11节
99P0001	生态学基础	1	90	32	2	董跃		4-13周	3	第9-11节	第14周	3	第9-10节
99P0003	武术散打	1	50	32	1	陈竺		4-13周	1	第9-11节	第14周	1	第9-10节
99P0009	定向越野	1	50	32	1	王志刚	王胜超	4-11周	6	第1-4节			
99P0019	足球竞赛规则解析	1	50	32	1	王鸣捷		4-13周	2	第9-11节	第14周	2	第9-10节
99P0023	乒乓球教学与竞赛	1	50	32	1	白敬锋		4-13周	1	第9-11节	第14周	1	第9-10节
99P0025	中国民族民间舞蹈	1	50	32	1	王娟		4-13周	1	第9-11节	第14周	1	第9-10节
99P0030	篮球规则与裁判法	1	50	32	1	潘石磊		4-11周	6	第1-4节			
99P0031	篮球教学与竞赛	1	50	32	1	张云		4-11周	6	第1-4节			
99S0018	三维实体造型	1	60	32	2	陈彦杰		4-13周	3	第9-11节	第14周	3	第9-10节
99S0038	信息安全与信息对抗概论	1	60	32	2	姜正涛		4-13周	3	第9-11节	第14周	3	第9-10节
99S0068	移动多媒体广播技术	1	120	16	1	严明		4-7周	2	第9-11节	8-9周	2	第9-10节
99S0071	网络多媒体技术	1	80	32	2	洪志国		4-13周	5	第9-11节	第14周	5	第9-10节
99S0072	军事科技与新军事变革	1	80	32	2	杨领军		4-13周	2	第9-11节	第14周	2	第9-10节
99S0078	3D打印及模具设计	1	30	32	2	鲍南海		4-13周	2	第9-11节	第14周	2	第9-10节
99S0079	数字视频编辑与制作	1	42	32	2	石喜富		4-13周	4	第9-11节	第14周	4	第9-10节
99S0080	影视声音技术	1	50	32	2	俞锫		4-13周	3	第9-11节	第14周	3	第9-10节
99S0084	脑科学与智能媒体	1	140	16	1	王晔		4-7周	3	第9-11节	8-9周	3	第9-10节
99S0090	无人机航拍技术	1	50	32	2	王鸿涛		4-11周	6	第1-4节			
99S0092	决策分析与大数据技术	1	80	32	2	张博		4-13周	2	第9-11节	第14周	2	第9-10节
99S0093	大数据时代及数据挖掘技术	1	50	32	2	殷复莲		4-13周	1	第9-11节	第14周	1	第9-10节
99S0094	网络爬虫编程与实践	1	90	32	2	程南昌		4-13周	4	第9-11节	第14周	4	第9-10节
99S0095	科学思辨	1	60	32	2	杨晓辉		4-13周	1	第9-11节	第14周	1	第9-10节
99S0096	观星	1	130	32	2	魏晓凡		4-13周	2	第9-11节	第14周	2	第9-10节
99S0097	数据可视化实战	1	50	32	2	刘若歆		4-13周	4	第9-11节	第14周	4	第9-10节
99A0132	乐舞赏析	1	50	32	2	李俊梅		4-13周	2	第9-11节	第14周	2	第9-10节
99A0133	影视音乐与影像叙事	1	50	32	2	吉也		4-13周	4	第9-11节	第14周	4	第9-10节
99H0152	大学生法律维权	1	50	32	2	王晋		4-11周	6	第1-4节			
99H0154	中国传统政治文明与政治现代化	1	100	32	2	白文刚		4-13周	3	第9-11节	第14周	3	第9-10节
99S0065	剧场工程概论	1	100	24	1.5	张晶晶		4-11周	2	第9-11节			
